"parcela","state","Name","location","plotID","sizeplot","year","owner","Alive.parcela","Dead.parcela","NA.height","No.height"
"CAU_A01 T15_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T15_P3","50x50",2018,"PaiSus","53","4",52,0
"CAU_A01 T15_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T15_P4","50x50",2018,"PaiSus","61","1",61,0
"CAU_A01 T16_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T16_P1","50x50",2018,"PaiSus","50","6",50,0
"CAU_A01 T16_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T16_P2","50x50",2018,"PaiSus","56","5",56,0
"CAU_A01 T16_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T16_P3","50x50",2018,"PaiSus","41","6",41,0
"CAU_A01 T16_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T16_P4","50x50",2018,"PaiSus","51","6",51,0
"CAU_A01 T17_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T17_P1","50x50",2018,"PaiSus","59","4",59,0
"CAU_A01 T17_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T17_P2","50x50",2018,"PaiSus","42","12",41,0
"CAU_A01 T17_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T17_P3","50x50",2018,"PaiSus","42","0",42,0
"CAU_A01 T17_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T17_P4","50x50",2018,"PaiSus","58","0",58,0
"CAU_A01 T18_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T18_P1","50x50",2018,"PaiSus","50","5",50,0
"CAU_A01 T18_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T18_P2","50x50",2018,"PaiSus","68","1",63,0
"CAU_A01 T18_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T18_P3","50x50",2018,"PaiSus","62","4",62,0
"CAU_A01 T18_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T18_P4","50x50",2018,"PaiSus","45","1",45,0
"CAU_A01 T19_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T19_P1","50x50",2018,"PaiSus","56","0",56,0
"CAU_A01 T19_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T19_P2","50x50",2018,"PaiSus","70","3",66,0
"CAU_A01 T19_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T19_P3","50x50",2018,"PaiSus","39","3",39,0
"CAU_A01 T19_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T19_P4","50x50",2018,"PaiSus","44","4",44,0
"CAU_A01 T20_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T20_P1","50x50",2018,"PaiSus","51","3",49,0
"CAU_A01 T20_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T20_P2","50x50",2018,"PaiSus","45","2",44,0
"CAU_A01 T20_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T20_P3","50x50",2018,"PaiSus","58","5",58,0
"CAU_A01 T20_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T20_P4","50x50",2018,"PaiSus","50","5",48,0
"CAU_A01 T21_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T21_P1","50x50",2018,"PaiSus","32","4",32,0
"CAU_A01 T21_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T21_P2","50x50",2018,"PaiSus","47","4",46,0
"CAU_A01 T21_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T21_P3","50x50",2018,"PaiSus","43","10",42,0
"CAU_A01 T21_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T21_P4","50x50",2018,"PaiSus","36","8",36,0
"CAU_A01 T22_P1 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T22_P1","50x50",2018,"PaiSus","43","5",43,0
"CAU_A01 T22_P2 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T22_P2","50x50",2018,"PaiSus","45","2",45,0
"CAU_A01 T22_P3 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T22_P3","50x50",2018,"PaiSus","54","5",53,0
"CAU_A01 T22_P4 50x50 2018","PA","Fazenda Cauaxi","CAU_A01","T22_P4","50x50",2018,"PaiSus","53","4",53,0
"DUC_A01 P02 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P02","50x50",2016,"PaiSus","49","5",49,0
"DUC_A01 P04 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P04","50x50",2016,"PaiSus","74","3",73,0
"DUC_A01 P05 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P05","50x50",2016,"PaiSus","54","6",54,0
"DUC_A01 P07 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P07","50x50",2016,"PaiSus","76","5",76,0
"DUC_A01 P08 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P08","50x50",2016,"PaiSus","59","7",59,0
"DUC_A01 P09 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P09","50x50",2016,"PaiSus","73","4",71,0
"DUC_A01 P10 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P10","50x50",2016,"PaiSus","79","8",79,0
"DUC_A01 P11 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P11","50x50",2016,"PaiSus","60","2",59,0
"DUC_A01 P12 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P12","50x50",2016,"PaiSus","66","2",65,0
"DUC_A01 P13 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P13","50x50",2016,"PaiSus","53","9",53,0
"DUC_A01 P14 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P14","50x50",2016,"PaiSus","59","5",59,0
"DUC_A01 P15 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P15","50x50",2016,"PaiSus","58","5",58,0
"DUC_A01 P16 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P16","50x50",2016,"PaiSus","67","1",67,0
"DUC_A01 P17 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P17","50x50",2016,"PaiSus","52","2",52,0
"DUC_A01 P18 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P18","50x50",2016,"PaiSus","76","6",75,0
"DUC_A01 P19 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P19","50x50",2016,"PaiSus","78","5",76,0
"DUC_A01 P20 50x50 2016","AM","Reserva Florestal Adolpho Ducke","DUC_A01","P20","50x50",2016,"PaiSus","53","8",52,0
"EMB_A01 P01 100x100 2016","AC","Embrapa_Acre","EMB_A01","P01","100x100",2016,"MarVin","604","38",521,0
"EMB_A01 P02 100x100 2016","AC","Embrapa_Acre","EMB_A01","P02","100x100",2016,"MarVin","564","68",469,0
"EMB_A01 P03 100x100 2016","AC","Embrapa_Acre","EMB_A01","P03","100x100",2016,"MarVin","496","87",401,0
"EMB_A01 P04 100x100 2016","AC","Embrapa_Acre","EMB_A01","P04","100x100",2016,"MarVin","521","56",435,0
"FEA_A01 P01 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P01","50x50",2013,"MarVin","92","7",90,0
"FEA_A01 P02 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P02","50x50",2013,"MarVin","107","16",105,0
"FEA_A01 P03 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P03","50x50",2013,"MarVin","118","1",113,0
"FEA_A01 P04 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P04","50x50",2013,"MarVin","149","0",146,0
"FEA_A01 P05 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P05","50x50",2013,"MarVin","134","5",133,0
"FEA_A01 P06 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P06","50x50",2013,"MarVin","85","2",85,0
"FEA_A01 P07 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P07","50x50",2013,"MarVin","84","10",84,0
"FEA_A01 P08 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P08","50x50",2013,"MarVin","99","6",99,0
"FEA_A01 P09 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P09","50x50",2013,"MarVin","150","0",147,0
"FEA_A01 P10 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P10","50x50",2013,"MarVin","129","3",121,0
"FEA_A01 P11 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P11","50x50",2013,"MarVin","141","1",140,0
"FEA_A01 P12 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P12","50x50",2013,"MarVin","115","0",113,0
"FEA_A01 P13 50x50 2013","AC","FE_Antimary_2013","FEA_A01","P13","50x50",2013,"MarVin","95","16",94,0
